symbol,longname,price,volume,openPrice,priceChange,percentChange,dayHigh,dayLow,prevClose,__typename,raw_symbol,patched_from_null,timestamp_utc,snapshot_type
GWO,Great-West Lifeco Inc.,71.32,735116.0,71.66,-0.45,-0.627003,71.84,71.12,71.77,Quote,,False,2026-04-26 20:52:15.414498+00:00,live
EMA,Emera Incorporated,71.87,566465.0,71.8,0.23,0.32105,72.26,71.31,71.64,Quote,,False,2026-04-26 20:52:15.414498+00:00,live
ZWB,BMO Covered Call Canadian Banks ETF,27.355,85189.0,27.26,0.125,0.459053,27.43,27.15,27.23,Quote,,False,2026-04-26 20:52:15.414498+00:00,live
AQN,Algonquin Power & Utilities Corp.,8.66,1620747.0,8.65,0.0,0.0,8.68,8.55,8.66,Quote,,False,2026-04-26 20:52:15.414498+00:00,live
CLS,Celestica Inc.,561.01,553297.0,553.28,23.53,4.377837,574.89,551.53,537.48,Quote,,False,2026-04-26 20:52:15.414498+00:00,live
ZWC,BMO Canadian High Dividend Covered Call ETF,21.81,75314.0,21.8,0.01,0.045872,21.82,21.73,21.8,Quote,,False,2026-04-26 20:52:15.414498+00:00,live
ABX,Barrick Mining Corporation,56.14,1871809.0,55.53,1.08,1.961497,56.54,54.82,55.06,Quote,,False,2026-04-26 20:52:15.414498+00:00,live
FRU,Freehold Royalties Ltd.,17.35,623523.0,17.45,-0.08,-0.458979,17.47,17.255,17.43,Quote,,False,2026-04-26 20:52:15.414498+00:00,live
SOBO,South Bow Corporation,43.77,1874342.0,43.33,0.1,0.22899,43.83,43.2,43.67,Quote,,False,2026-04-26 20:52:15.414498+00:00,live
VFV,Vanguard S&P 500 Index ETF,173.6,203238.0,173.2,0.88,0.509495,173.81,172.79,172.72,Quote,,False,2026-04-26 20:52:15.414498+00:00,live
BIP.UN,Brookfield Infrastructure Partners L.P.,49.44,497288.0,49.08,0.33,0.671961,49.69,48.73,49.11,Company,BIP UN,True,2026-04-26 20:52:15.414498+00:00,live
BTE,Baytex Energy Corp.,6.26,5210178.0,6.25,-0.03,-0.476948,6.31,6.2,6.29,Quote,,False,2026-04-26 20:52:15.414498+00:00,live
ATD,Alimentation Couche-Tard Inc.,76.74,1031215.0,77.85,-1.29,-1.65321,77.99,76.6,78.03,Quote,,False,2026-04-26 20:52:15.414498+00:00,live
